ecommerce_platform_exists,cart_element_found,price_pattern_found,num_currencies_found,ecommerce_keywords_count,anchor_buy_ratio,num_html_tags,text_to_html_ratio,word_count,anchor_count,avg_price_dom_position,url,label,has_kw_cart,has_kw_00,has_kw_shop,has_kw_accessories,has_kw_shopping,has_kw_2025,has_kw_shipping,has_kw_world,has_kw_news,has_kw_ir,has_kw_products,has_kw_eur,has_kw_brands,has_kw_delivery,has_kw_items,has_kw_resources,has_kw_payment,has_kw_ai,has_kw_live,has_kw_community
0,1,1,0,2,0.073,3924,0.034,3096,772,2083.689,https://www.dorothyperkins.com,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1,0,0,0,0.0,2175,0.026,1096,334,-1.0,https://www.bauturaonline.ro,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,3,0.037,5845,0.019,3449,981,3151.232,https://www.mccabespharmacy.com,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,0,0,0,0.007,1618,0.056,2087,138,-1.0,https://herbatea-manufaktura.hu,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0.041,1346,0.013,627,146,-1.0,https://woolyorganic.com/en,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0.0,1524,0.079,1844,226,648.447,https://kubilas.lt,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0.026,590,0.065,669,154,280.946,https://www.danfitzgeralds.com,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
0,1,0,0,0,0.051,3101,0.014,1315,272,102.667,https://www.joe-nimble.com,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0.005,1622,0.094,3106,218,8.0,https://www.edelmetall-handel.de,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,0,2,0,0.013,885,0.025,768,80,-1.0,https://plastflaskershop.dk,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0.011,1699,0.031,1987,190,-1.0,https://www.lanade.de,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,3,5,0.032,4636,0.016,2458,439,2398.378,https://www.magicbodyfashion.net,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
1,1,1,0,0,0.0,5318,0.021,2799,967,-1.0,https://motorbike.lt,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,4,0.036,12158,0.036,11488,3269,10582.77,https://www.newegg.com,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1
1,1,0,0,0,0.0,1939,0.008,655,75,-1.0,https://pakkertrousers.com,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,2,0.06,3087,0.018,2120,381,1924.953,https://guineys.ie,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,3,0,0.048,698,0.025,382,126,15.667,https://extremehobby.com/en,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0
1,1,0,0,1,0.031,3595,0.05,4943,620,-1.0,https://www.expert.ie,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,0,2,0.041,3404,0.025,1944,535,-1.0,https://www.shedsdirectireland.com,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,0,2,0.014,2081,0.046,2511,293,-1.0,https://wilkens-silber.de,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,1,2,1,0.037,1246,0.033,823,217,864.847,https://skate-home.com/en,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
1,1,1,0,0,0.25,70,0.031,108,8,23.143,https://cycletribe.ie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0.001,4804,0.062,3511,1728,-1.0,https://www.tamscar-audio.es,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,4,0.066,1881,0.004,1051,198,822.925,https://www.superdrug.com,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1
1,1,0,3,0,0.015,1597,0.026,1128,199,-1.0,https://www.mylacambra.com,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,1,2,0,0.0,1828,0.035,951,296,3.333,https://luxon.lt,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,2,0.087,1428,0.022,1577,138,873.492,https://no-excess.com,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0
1,1,1,2,2,0.005,4217,0.04,2904,192,3191.024,https://www.i-clip.com,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0.005,2105,0.033,2014,402,-1.0,https://campinet.pt,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,3,0.094,2575,0.016,1422,244,2021.816,https://artificialtrees.ie,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
0,1,1,0,4,0.015,2260,0.205,7392,393,315.0,https://vestment.co.uk,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1
